category,fact
Water Animals,"Did you know that dolphins have unique whistles to communicate?"
Water Animals,"Sharks can detect a drop of blood in 25 gallons of water!"
Water Animals,"Octopuses have three hearts and blue blood."
Water Animals,"A group of jellyfish is called a 'smack.'"
Water Animals,"Clownfish can change their gender depending on the dominant fish in their group."
Water Animals,"Sea otters hold hands while sleeping to keep from drifting apart."
Water Animals,"The blue whale is the largest animal ever to have lived."
Water Animals,"Some species of fish can recognize human faces."
Water Animals,"Electric eels can produce a shock of up to 600 volts."
Water Animals,"Some turtles can breathe through their butts."
Water Animals,"Manatees are known as sea cows and are herbivores."
Water Animals,"Sea horses are the only species in which the male carries the young."
Water Animals,"Dolphins sleep with one eye open."
Water Animals,"The immortal jellyfish can revert back to its juvenile form."
Water Animals,"Pufferfish contain a toxin that can be deadly if consumed."
Water Animals,"Beluga whales are known as the 'canaries of the sea' due to their vocalizations."

Land Animals,"The heart of a blue whale is so large that a human can swim through its arteries."
Land Animals,"A group of flamingos is called a 'flamboyance.'"
Land Animals,"Elephants can recognize themselves in mirrors."
Land Animals,"Giraffes have the same number of neck vertebrae as humans—seven."
Land Animals,"Sloths can hold their breath longer than dolphins can."
Land Animals,"Koalas have fingerprints that are almost indistinguishable from humans."
Land Animals,"Cheetahs can't roar; they can only make a variety of other sounds."
Land Animals,"Horses can sleep both lying down and standing up."
Land Animals,"The world's largest rodent is the capybara."
Land Animals,"Tigers have striped skin, not just striped fur."
Land Animals,"Bats are the only flying mammals."
Land Animals,"Ants can lift objects 50 times their weight."
Land Animals,"A group of owls is called a 'parliament.'"
Land Animals,"Reindeer eyes change color with the seasons."
Land Animals,"Kangaroos can’t walk backwards."
Land Animals,"Hippos sweat a red fluid that acts as sunscreen."

Humans,"Humans are the only species known to blush."
Humans,"Your brain uses 20% of your body's total oxygen and calories."
Humans,"The average person walks the equivalent of five times around the world in their lifetime."
Humans,"Humans share 60% of their DNA with bananas."
Humans,"The human nose can detect over 1 trillion scents."
Humans,"Your taste buds have a lifespan of about 10 to 14 days."
Humans,"Humans are born with 300 bones but end up with 206."
Humans,"The human body contains enough fat to make seven bars of soap."
Humans,"Your ears never stop growing."
Humans,"The human brain is 75% water."
Humans,"You can't breathe and swallow at the same time."
Humans,"Laughter can boost your immune system."
Humans,"The strongest muscle in the body, based on its size, is the jaw muscle."
Humans,"Your heart beats around 100,000 times a day."
Humans,"Humans are the only animals that cry emotional tears."
Humans,"Humans are the only species that can make fire."

Birds,"The fastest bird, the peregrine falcon, can dive at speeds over 240 mph."
Birds,"A flock of crows is called a 'murder.'"
Birds,"Owls can turn their heads almost completely around."
Birds,"The hummingbird is the only bird that can fly backwards."
Birds,"Emperor penguins can dive to depths of over 1,800 feet."
Birds,"Flamingos are naturally white; their pink color comes from their diet."
Birds,"Chickens are the closest living relatives to the T-Rex."
Birds,"A group of ravens is called an 'unkindness.'"
Birds,"The albatross has the largest wingspan of any living bird, up to 12 feet."
Birds,"Some parrots can learn to speak over 100 words."
Birds,"The ostrich is the fastest bird on land, running up to 45 mph."
Birds,"Birds have hollow bones that make them lighter for flight."
Birds,"The average lifespan of a canary is 10 years."
Birds,"Pigeons can find their way home from over 1,000 miles away."
Birds,"The song of the lyrebird can mimic other bird calls and even human-made sounds."
Birds,"African grey parrots are known for their intelligence and ability to learn human speech."
